0.2066,0.1823,0.1704,0.124,0.1072,0.1038,0.1044,0.1074,0.1021,0.101,0.1013,0.0994,0.0992,0.1026,0.1138,0.1402,0.1595,0.1632,0.1823,0.1828
0.1756,0.1723,0.1501,0.1264,0.112,0.109,0.1039,0.1038,0.0898,0.086,0.0844,0.0821,0.084,0.0933,0.1071,0.1208,0.1426,0.1376,0.1626,0.1505
0.235,0.2069,0.1946,0.1402,0.1233,0.1178,0.1024,0.1,0.0939,0.0877,0.0979,0.1062,0.1155,0.1336,0.1488,0.1366,0.1248,0.1106,0.1051,0.0862
0.2781,0.2701,0.2467,0.1779,0.153,0.1382,0.1269,0.1165,0.1092,0.1115,0.1205,0.1295,0.1381,0.1491,0.1544,0.1453,0.1285,0.1213,0.1129,0.1047
0.278,0.2716,0.2586,0.207,0.1922,0.1859,0.1762,0.1693,0.1627,0.1536,0.1535,0.1476,0.1442,0.1305,0.1326,0.1345,0.1453,0.1504,0.1631,0.163
0.2427,0.2641,0.2684,0.2972,0.305,0.3102,0.3109,0.3083,0.2712,0.2293,0.215,0.1821,0.178,0.1831,0.186,0.1966,0.2011,0.1949,0.2031,0.2093
0.2594,0.3012,0.3064,0.3453,0.3486,0.351,0.3284,0.317,0.2134,0.1458,0.1242,0.0772,0.0798,0.0779,0.0888,0.0949,0.0878,0.0912,0.0988,0.1265
0.158,0.1683,0.1709,0.209,0.2355,0.2581,0.2737,0.2748,0.2342,0.205,0.1791,0.1308,0.1413,0.0904,0.0844,0.0868,0.0888,0.0925,0.0844,0.0903
0.1497,0.1528,0.1566,0.177,0.2073,0.2257,0.2595,0.2427,0.2358,0.2139,0.1946,0.1706,0.1687,0.1732,0.1701,0.162,0.1584,0.1567,0.1485,0.1424
0.094,0.1014,0.1094,0.1972,0.2515,0.2906,0.3232,0.3124,0.269,0.2299,0.2461,0.2271,0.225,0.203,0.1998,0.1942,0.1907,0.2024,0.1968,0.1812
0.1306,0.1468,0.1507,0.1876,0.2196,0.229,0.2558,0.2501,0.2317,0.2276,0.2229,0.2154,0.2106,0.191,0.1772,0.1421,0.1399,0.1392,0.1299,0.1347
0.1835,0.1805,0.1833,0.1885,0.1941,0.1951,0.2168,0.2163,0.2269,0.2255,0.2275,0.2211,0.2107,0.1887,0.1587,0.1346,0.1272,0.129,0.1346,0.1443
0.2504,0.2577,0.2557,0.266,0.2736,0.2791,0.2936,0.2906,0.2987,0.3293,0.333,0.3704,0.3567,0.3352,0.2905,0.2277,0.2026,0.1986,0.188,0.1798
0.1769,0.1708,0.1695,0.1675,0.1734,0.1885,0.2289,0.2521,0.3178,0.3524,0.379,0.3927,0.3889,0.37,0.3235,0.2632,0.2334,0.2179,0.1957,0.1774
0.1402,0.1442,0.1482,0.1634,0.1704,0.1786,0.2066,0.2124,0.2542,0.2768,0.2912,0.3026,0.2926,0.2638,0.2314,0.195,0.1812,0.177,0.1635,0.1563
0.1673,0.1618,0.1657,0.1654,0.1746,0.1839,0.2115,0.2193,0.2766,0.3104,0.3294,0.365,0.3679,0.3831,0.3909,0.3842,0.3648,0.3443,0.3094,0.2381
0.2009,0.2016,0.2098,0.2163,0.2245,0.2341,0.252,0.2558,0.2973,0.3218,0.334,0.3555,0.3488,0.3288,0.2962,0.2777,0.28,0.2825,0.262,0.2308
0.1803,0.1818,0.1855,0.1927,0.1931,0.193,0.1943,0.1921,0.1979,0.1981,0.1981,0.2014,0.1985,0.2024,0.1974,0.1959,0.1958,0.1921,0.1829,0.1767
0.1425,0.1508,0.1611,0.1758,0.1784,0.1915,0.2017,0.2101,0.2406,0.2512,0.2786,0.3269,0.3332,0.3337,0.3319,0.3352,0.3293,0.3224,0.2906,0.2354
0.1156,0.1091,0.1091,0.1171,0.1215,0.1291,0.1439,0.1464,0.1677,0.189,0.2162,0.2741,0.2655,0.2732,0.2766,0.2562,0.2393,0.2238,0.1987,0.186